Q= 4.01158e-21, q=3.89416e-21, err=5.87103e-23, tol=6.40736e-25, nrec=137
Q= 2.83662e-21, q=2.75359e-21, err=4.15144e-23, tol=4.53068e-25, nrec=138
Q= 2.00579e-21, q=1.94708e-21, err=2.93551e-23, tol=3.20368e-25, nrec=139
Q= 1.41831e-21, q=1.37679e-21, err=2.07572e-23, tol=2.26534e-25, nrec=140
Q= 1.0029e-21, q=9.73541e-22, err=1.46776e-23, tol=1.60184e-25, nrec=141
Q= 7.09155e-22, q=6.88397e-22, err=1.03786e-23, tol=1.13267e-25, nrec=142
Q= 5.01448e-22, q=4.86771e-22, err=7.33879e-24, tol=8.00919e-26, nrec=143
Q= 3.54577e-22, q=3.44199e-22, err=5.1893e-24, tol=5.66336e-26, nrec=144
Q= 2.50724e-22, q=2.43385e-22, err=3.66939e-24, tol=4.0046e-26, nrec=145
Q= 1.77289e-22, q=1.72099e-22, err=2.59465e-24, tol=2.83168e-26, nrec=146
Q= 1.25362e-22, q=1.21693e-22, err=1.8347e-24, tol=2.0023e-26, nrec=147
Q= 8.86443e-23, q=8.60497e-23, err=1.29733e-24, tol=1.41584e-26, nrec=148
Q= 6.2681e-23, q=6.08463e-23, err=9.17348e-25, tol=1.00115e-26, nrec=149
Q= 4.43222e-23, q=4.30248e-23, err=6.48663e-25, tol=7.07919e-27, nrec=150
Q= 3.13405e-23, q=3.04232e-23, err=4.58674e-25, tol=5.00575e-27, nrec=151
Q= 2.21611e-23, q=2.15124e-23, err=3.24332e-25, tol=3.5396e-27, nrec=152
Q= 1.56703e-23, q=1.52116e-23, err=2.29337e-25, tol=2.50287e-27, nrec=153
Q= 1.10805e-23, q=1.07562e-23, err=1.62166e-25, tol=1.7698e-27, nrec=154
Q= 7.83513e-24, q=7.60579e-24, err=1.14669e-25, tol=1.25144e-27, nrec=155
Q= 5.54027e-24, q=5.37811e-24, err=8.10829e-26, tol=8.84899e-28, nrec=156
Q= 3.91756e-24, q=3.80289e-24, err=5.73343e-26, tol=6.25718e-28, nrec=157
Q= 2.77014e-24, q=2.68905e-24, err=4.05414e-26, tol=4.4245e-28, nrec=158
Q= 1.95878e-24, q=1.90145e-24, err=2.86671e-26, tol=3.12859e-28, nrec=159
Q= 1.38507e-24, q=1.34453e-24, err=2.02707e-26, tol=2.21225e-28, nrec=160
Q= 9.79391e-25, q=9.50724e-25, err=1.43336e-26, tol=1.5643e-28, nrec=161
Q= 6.92534e-25, q=6.72263e-25, err=1.01354e-26, tol=1.10612e-28, nrec=162
Q= 4.89695e-25, q=4.75362e-25, err=7.16678e-27, tol=7.82148e-29, nrec=163
Q= 3.46267e-25, q=3.36132e-25, err=5.06768e-27, tol=5.53062e-29, nrec=164
Q= 2.44848e-25, q=2.37681e-25, err=3.58339e-27, tol=3.91074e-29, nrec=165
Q= 1.73133e-25, q=1.68066e-25, err=2.53384e-27, tol=2.76531e-29, nrec=166
Q= 1.22424e-25, q=1.1884e-25, err=1.7917e-27, tol=1.95537e-29, nrec=167
Q= 8.65667e-26, q=8.40329e-26, err=1.26692e-27, tol=1.38266e-29, nrec=168
Q= 6.12119e-26, q=5.94202e-26, err=8.95848e-28, tol=9.77685e-30, nrec=169
Q= 4.32834e-26, q=4.20164e-26, err=6.3346e-28, tol=6.91328e-30, nrec=170
Q= 3.0606e-26, q=2.97101e-26, err=4.47924e-28, tol=4.88842e-30, nrec=171
Q= 2.16417e-26, q=2.10082e-26, err=3.1673e-28, tol=3.45664e-30, nrec=172
Q= 1.5303e-26, q=1.48551e-26, err=2.23962e-28, tol=2.44421e-30, nrec=173
Q= 1.08208e-26, q=1.05041e-26, err=1.58365e-28, tol=1.72832e-30, nrec=174
Q= 7.65149e-27, q=7.42753e-27, err=1.11981e-28, tol=1.22211e-30, nrec=175
Q= 5.41042e-27, q=5.25206e-27, err=7.91825e-29, tol=8.6416e-31, nrec=176
Q= 3.82575e-27, q=3.71376e-27, err=5.59905e-29, tol=6.11053e-31, nrec=177
Q= 2.70521e-27, q=2.62603e-27, err=3.95913e-29, tol=4.3208e-31, nrec=178
Q= 1.91287e-27, q=1.85688e-27, err=2.79952e-29, tol=3.05527e-31, nrec=179
Q= 1.35261e-27, q=1.31301e-27, err=1.97956e-29, tol=2.1604e-31, nrec=180
Q= 9.56436e-28, q=9.28441e-28, err=1.39976e-29, tol=1.52763e-31, nrec=181
Q= 6.76303e-28, q=6.56507e-28, err=9.89781e-30, tol=1.0802e-31, nrec=182
Q= 4.78218e-28, q=4.64221e-28, err=6.99881e-30, tol=7.63816e-32, nrec=183
Q= 3.38151e-28, q=3.28254e-28, err=4.94891e-30, tol=5.401e-32, nrec=184
